,age,length_of_service,clusters
5216,52,14,1
5217,53,15,1
5218,54,16,1
5219,55,17,1
5220,56,18,1
5221,57,19,1
5222,58,20,1
5223,59,21,1
5224,60,22,1
5225,61,23,1
5226,52,14,1
5227,53,15,1
5228,54,16,1
5229,55,17,1
5230,56,18,1
5231,57,19,1
5232,58,20,1
5233,59,21,1
5234,60,22,1
5235,61,23,1
5236,52,14,1
5237,53,15,1
5238,54,16,1
5239,55,17,1
5240,56,18,1
5241,57,19,1
5242,58,20,1
5243,59,21,1
5244,60,22,1
5245,61,23,1
5246,52,14,1
5247,53,15,1
5248,54,16,1
5249,55,17,1
5250,56,18,1
5251,57,19,1
5252,58,20,1
5253,59,21,1
5254,60,22,1
5255,61,23,1
5256,52,14,1
5257,53,15,1
5258,54,16,1
5259,55,17,1
5260,56,18,1
5261,57,19,1
5262,58,20,1
5263,59,21,1
5264,60,22,1
5265,61,23,1
5266,52,14,1
5267,53,15,1
5268,54,16,1
5269,55,17,1
5270,56,18,1
5271,57,19,1
5272,58,20,1
5273,59,21,1
5274,60,22,1
5275,61,23,1
5276,52,14,1
5277,53,15,1
5278,54,16,1
5279,55,17,1
5280,56,18,1
5281,57,19,1
5282,58,20,1
5283,59,21,1
5284,60,22,1
5285,61,23,1
5286,52,14,1
5287,53,15,1
5288,52,14,1
5289,53,15,1
5290,54,16,1
5291,55,17,1
5292,56,18,1
5293,57,19,1
5294,58,20,1
5295,59,21,1
5296,60,22,1
5297,61,23,1
5298,52,14,1
5299,53,15,1
5300,54,16,1
5301,55,17,1
5302,56,18,1
5303,57,19,1
5304,58,20,1
5305,59,21,1
5306,60,22,1
5307,61,23,1
5308,52,14,1
5309,53,15,1
5310,54,16,1
5311,55,17,1
5312,56,18,1
5313,57,19,1
5314,58,20,1
5315,59,21,1
5316,60,22,1
5317,61,23,1
5318,52,14,1
5319,53,15,1
5320,54,16,1
5321,55,17,1
5322,56,18,1
5323,57,19,1
5324,58,20,1
5325,59,21,1
5326,60,22,1
5327,61,23,1
5328,52,14,1
5329,53,15,1
5330,54,16,1
5331,55,17,1
5332,56,18,1
5333,57,19,1
5334,58,20,1
5335,59,21,1
5336,60,22,1
5337,61,23,1
5338,52,14,1
5339,53,15,1
5340,54,16,1
5341,55,17,1
5342,56,18,1
5343,57,19,1
5344,58,20,1
5345,59,21,1
5346,60,22,1
5347,61,23,1
5348,52,14,1
5349,53,15,1
5350,54,16,1
5351,55,17,1
5352,56,18,1
5353,57,19,1
5354,58,20,1
5355,59,21,1
5356,60,22,1
5357,61,23,1
5358,52,14,1
5359,53,15,1
5360,54,16,1
5361,55,17,1
5362,56,18,1
5363,57,19,1
5364,58,20,1
5365,59,21,1
5366,60,22,1
5367,61,23,1
5368,52,14,1
5369,53,15,1
5370,54,16,1
5371,55,17,1
5372,56,18,1
5373,57,19,1
5374,58,20,1
5375,59,21,1
5376,60,22,1
5377,61,23,1
5378,52,14,1
5379,53,15,1
5380,54,16,1
5381,55,17,1
5382,56,18,1
5383,57,19,1
5384,58,20,1
5385,59,21,1
5386,60,22,1
5387,61,23,1
5388,52,14,1
5389,53,15,1
5390,54,16,1
5391,55,17,1
5392,56,18,1
5393,57,19,1
5394,58,20,1
5395,59,21,1
5396,60,22,1
5397,61,23,1
5398,52,14,1
5399,53,15,1
5400,54,16,1
5401,55,17,1
5402,56,18,1
5403,57,19,1
5404,58,20,1
5405,59,21,1
5406,60,22,1
5407,61,23,1
5408,52,14,1
5409,53,15,1
5410,54,16,1
5411,55,17,1
5412,56,18,1
5413,57,19,1
5414,58,20,1
5415,59,21,1
5416,60,22,1
5417,52,14,1
5418,53,15,1
5419,54,16,1
5420,55,17,1
5421,56,18,1
5422,57,19,1
5423,58,20,1
5424,59,21,1
5425,60,22,1
5426,61,23,1
5427,52,14,1
5428,53,15,1
5429,54,16,1
5430,55,17,1
5431,56,18,1
5432,57,19,1
5433,58,20,1
5434,59,21,1
5435,60,22,1
5436,61,23,1
5437,52,14,1
5438,53,15,1
5439,54,16,1
5440,55,17,1
5441,56,18,1
5442,57,19,1
5443,58,20,1
5444,59,21,1
5445,60,22,1
5446,61,23,1
5447,52,14,1
5448,53,15,1
5449,54,16,1
5450,55,17,1
5451,56,18,1
5452,57,19,1
5453,58,20,1
5454,59,21,1
5455,60,22,1
5456,61,23,1
5457,52,14,1
5458,53,15,1
5459,54,16,1
5460,55,17,1
5461,56,18,1
5462,57,19,1
5463,58,20,1
5464,59,21,1
5465,60,22,1
5466,61,23,1
5467,52,14,1
5468,53,15,1
5469,54,16,1
5470,55,17,1
5471,56,18,1
5472,57,19,1
5473,58,20,1
5474,59,21,1
5475,60,22,1
5476,61,23,1
5477,52,14,1
5478,53,15,1
5479,54,16,1
5480,55,17,1
5481,56,18,1
5482,57,19,1
5483,58,20,1
5484,59,21,1
5485,60,22,1
5486,61,23,1
5487,52,14,1
5488,53,15,1
5489,54,16,1
5490,55,17,1
5491,56,18,1
5492,57,19,1
5493,58,20,1
5494,59,21,1
5495,60,22,1
5496,61,23,1
5497,52,14,1
5498,53,15,1
5499,54,16,1
5500,55,17,1
5501,56,18,1
5502,57,19,1
5503,58,20,1
5504,59,21,1
5505,60,22,1
5506,61,23,1
5507,52,14,1
5508,53,15,1
5509,54,16,1
5510,55,17,1
5511,56,18,1
5512,57,19,1
5513,58,20,1
5514,59,21,1
5515,60,22,1
5516,61,23,1
5517,52,14,1
5518,53,15,1
5519,54,16,1
5520,55,17,1
5521,56,18,1
5522,57,19,1
5523,58,20,1
5524,59,21,1
5525,60,22,1
5526,61,23,1
5527,52,14,1
5528,53,15,1
5529,54,16,1
5530,55,17,1
5531,56,18,1
5532,57,19,1
5533,58,20,1
5534,59,21,1
5535,60,22,1
5536,61,23,1
5537,52,14,1
5538,53,15,1
5539,54,16,1
5540,55,17,1
5541,56,18,1
5542,57,19,1
5543,58,20,1
5544,59,21,1
5545,60,22,1
5546,61,23,1
5547,52,14,1
5548,53,15,1
5549,54,16,1
5550,55,17,1
5551,56,18,1
5552,57,19,1
5553,58,20,1
5554,59,21,1
5555,60,22,1
5556,61,23,1
5557,52,14,1
5558,53,15,1
5559,54,16,1
5560,55,17,1
5561,56,18,1
5562,57,19,1
5563,58,20,1
5564,59,21,1
5565,60,22,1
5566,61,23,1
5567,52,14,1
5568,53,15,1
5569,54,16,1
5570,55,17,1
5571,56,18,1
5572,57,19,1
5573,58,20,1
5574,59,21,1
5575,60,22,1
5576,61,23,1
5577,52,14,1
5578,53,15,1
5579,54,16,1
5580,55,17,1
5581,56,18,1
5582,57,19,1
5583,58,20,1
5584,59,21,1
5585,60,22,1
5586,61,23,1
5587,52,14,1
5588,53,15,1
5589,54,16,1
5590,55,17,1
5591,56,18,1
5592,57,19,1
5593,58,20,1
5594,59,21,1
5595,60,22,1
5596,61,23,1
5597,52,14,1
5598,53,15,1
5599,54,16,1
5600,55,17,1
5601,56,18,1
5602,57,19,1
5603,58,20,1
5604,59,21,1
5605,60,22,1
5606,61,23,1
5607,52,14,1
5608,53,15,1
5609,54,16,1
5610,55,17,1
5611,56,18,1
5612,57,19,1
5613,58,20,1
5614,59,21,1
5615,60,22,1
5616,61,23,1
5617,52,14,1
5618,53,15,1
5619,54,16,1
5620,55,17,1
5621,56,18,1
5622,57,19,1
5623,58,20,1
5624,59,21,1
5625,60,22,1
5626,61,23,1
5627,52,14,1
5628,53,15,1
5629,54,16,1
5630,55,17,1
5631,56,18,1
5632,57,19,1
5633,58,20,1
5634,59,21,1
5635,60,22,1
5636,61,23,1
5637,52,14,1
5638,53,15,1
5639,54,16,1
5640,55,17,1
5641,56,18,1
5642,57,19,1
5643,58,20,1
5644,59,21,1
5645,60,22,1
5646,61,23,1
5647,52,14,1
5648,53,15,1
5649,54,16,1
5650,55,17,1
5651,56,18,1
5652,57,19,1
5653,58,20,1
5654,59,21,1
5655,60,22,1
5656,61,23,1
5657,52,14,1
5658,53,15,1
5659,54,16,1
5660,55,17,1
5661,56,18,1
5662,57,19,1
5663,58,20,1
5664,59,21,1
5665,60,22,1
5666,61,23,1
5667,52,14,1
5668,53,15,1
5669,54,16,1
5670,55,17,1
5671,56,18,1
5672,57,19,1
5673,58,20,1
5674,59,21,1
5675,60,22,1
5676,61,23,1
5677,52,14,1
5678,53,15,1
5679,54,16,1
5680,55,17,1
5681,56,18,1
5682,57,19,1
5683,58,20,1
5684,59,21,1
5685,60,22,1
5686,61,23,1
5687,52,14,1
5688,53,15,1
5689,54,16,1
5690,55,17,1
5691,56,18,1
5692,57,19,1
5693,58,20,1
5694,59,21,1
5695,60,22,1
5696,61,23,1
5697,52,14,1
5698,53,15,1
5699,54,16,1
5700,55,17,1
5701,56,18,1
5702,57,19,1
5703,58,20,1
5704,59,21,1
5705,60,22,1
5706,61,23,1
5707,52,14,1
5708,53,15,1
5709,54,16,1
5710,55,17,1
5711,56,18,1
5712,57,19,1
5713,58,20,1
5714,59,21,1
5715,60,22,1
5716,61,23,1
5717,52,14,1
5718,53,15,1
5719,54,16,1
5720,55,17,1
5721,56,18,1
5722,57,19,1
5723,58,20,1
5724,59,21,1
5725,60,22,1
5726,61,23,1
5727,52,14,1
5728,53,15,1
5729,54,16,1
5730,55,17,1
5731,56,18,1
5732,57,19,1
5733,58,20,1
5734,59,21,1
5735,60,22,1
5736,61,23,1
5737,52,14,1
5738,53,15,1
5739,54,16,1
5740,55,17,1
5741,56,18,1
5742,57,19,1
5743,58,20,1
5744,59,21,1
5745,60,22,1
5746,61,23,1
5747,52,14,1
5748,53,15,1
5749,54,16,1
5750,55,17,1
5751,56,18,1
5752,57,19,1
5753,58,20,1
5754,59,21,1
5755,60,22,1
5756,61,23,1
5757,52,14,1
5758,53,15,1
5759,54,16,1
5760,55,17,1
5761,56,18,1
5762,57,19,1
5763,58,20,1
5764,59,21,1
5765,60,22,1
5766,61,23,1
5767,52,14,1
5768,53,15,1
5769,54,16,1
5770,55,17,1
5771,56,18,1
5772,57,19,1
5773,58,20,1
5774,59,21,1
5775,60,22,1
5776,61,23,1
5777,52,14,1
5778,53,15,1
5779,54,16,1
5780,55,17,1
5781,56,18,1
5782,57,19,1
5783,58,20,1
5784,59,21,1
5785,60,22,1
5786,52,14,1
5787,53,15,1
5788,54,16,1
5789,55,17,1
5790,56,18,1
5791,57,19,1
5792,58,20,1
5793,59,21,1
5794,60,22,1
5795,61,23,1
5796,52,14,1
5797,53,15,1
5798,54,16,1
5799,55,17,1
5800,56,18,1
5801,57,19,1
5802,58,20,1
5803,59,21,1
5804,60,22,1
5805,61,23,1
5806,52,14,1
5807,53,15,1
5808,54,16,1
5809,55,17,1
5810,56,18,1
5811,57,19,1
5812,58,20,1
5813,59,21,1
5814,60,22,1
5815,61,23,1
5816,52,14,1
5817,53,15,1
5818,54,16,1
5819,55,17,1
5820,56,18,1
5821,57,19,1
5822,58,20,1
5823,59,21,1
5824,60,22,1
5825,61,23,1
5826,52,14,1
5827,53,15,1
5828,54,16,1
5829,55,17,1
5830,56,18,1
5831,57,19,1
5832,58,20,1
5833,59,21,1
5834,60,22,1
5835,61,23,1
5836,52,14,1
5837,53,15,1
5838,54,16,1
5839,55,17,1
5840,56,18,1
5841,57,19,1
5842,58,20,1
5843,59,21,1
5844,60,22,1
5845,61,23,1
5846,51,14,1
5847,52,15,1
5848,53,16,1
5849,54,17,1
5850,55,18,1
5851,56,19,1
5852,57,20,1
5853,58,21,1
5854,59,22,1
5855,60,23,1
5856,51,14,1
5857,52,15,1
5858,53,16,1
5859,54,17,1
5860,55,18,1
5861,56,19,1
5862,57,20,1
5863,58,21,1
5864,59,22,1
5865,60,23,1
5866,51,14,1
5867,52,15,1
5868,53,16,1
5869,54,17,1
5870,55,18,1
5871,56,19,1
5872,57,20,1
5873,58,21,1
5874,59,22,1
5875,60,23,1
5876,51,14,1
5877,52,15,1
5878,53,16,1
5879,54,17,1
5880,55,18,1
5881,56,19,1
5882,57,20,1
5883,58,21,1
5884,59,22,1
5885,60,23,1
5886,51,14,1
5887,52,15,1
5888,53,16,1
5889,54,17,1
5890,55,18,1
5891,56,19,1
5892,57,20,1
5893,58,21,1
5894,59,22,1
5895,60,23,1
5896,51,14,1
5897,52,15,1
5898,53,16,1
5899,54,17,1
5900,55,18,1
5901,56,19,1
5902,57,20,1
5903,58,21,1
5904,59,22,1
5905,60,23,1
5906,51,14,1
5907,52,15,1
5908,53,16,1
5909,54,17,1
5910,55,18,1
5911,56,19,1
5912,57,20,1
5913,58,21,1
5914,59,22,1
5915,60,23,1
5916,51,14,1
5917,52,15,1
5918,53,16,1
5919,54,17,1
5920,55,18,1
5921,56,19,1
5922,57,20,1
5923,58,21,1
5924,59,22,1
5925,60,23,1
5926,51,14,1
5927,52,15,1
5928,53,16,1
5929,54,17,1
5930,55,18,1
5931,56,19,1
5932,57,20,1
5933,58,21,1
5934,59,22,1
5935,60,23,1
5936,51,14,1
5937,52,15,1
5938,53,16,1
5939,54,17,1
5940,55,18,1
5941,56,19,1
5942,57,20,1
5943,58,21,1
5944,59,22,1
5945,60,23,1
5946,51,14,1
5947,52,15,1
5948,53,16,1
5949,54,17,1
5950,55,18,1
5951,56,19,1
5952,57,20,1
5953,58,21,1
5954,59,22,1
5955,60,23,1
5956,51,14,1
5957,52,15,1
5958,53,16,1
5959,54,17,1
5960,55,18,1
5961,56,19,1
5962,57,20,1
5963,58,21,1
5964,59,22,1
5965,60,23,1
5966,51,14,1
5967,51,14,1
5968,52,15,1
5969,53,16,1
5970,54,17,1
5971,55,18,1
5972,56,19,1
5973,57,20,1
5974,58,21,1
5975,59,22,1
5976,60,23,1
5977,51,14,1
5978,52,15,1
5979,53,16,1
5980,54,17,1
5981,55,18,1
5982,56,19,1
5983,57,20,1
5984,58,21,1
5985,59,22,1
5986,60,23,1
5987,51,14,1
5988,52,15,1
5989,53,16,1
5990,54,17,1
5991,55,18,1
5992,56,19,1
5993,57,20,1
5994,58,21,1
5995,59,22,1
5996,60,23,1
5997,51,14,1
5998,52,15,1
5999,53,16,1
6000,54,17,1
6001,55,18,1
6002,56,19,1
6003,57,20,1
6004,58,21,1
6005,59,22,1
6006,60,23,1
6007,51,14,1
6008,52,15,1
6009,53,16,1
6010,54,17,1
6011,55,18,1
6012,56,19,1
6013,57,20,1
6014,58,21,1
6015,59,22,1
6016,60,23,1
6017,51,14,1
6018,52,15,1
6019,53,16,1
6020,54,17,1
6021,55,18,1
6022,56,19,1
6023,57,20,1
6024,58,21,1
6025,59,22,1
6026,60,23,1
6027,51,14,1
6028,52,15,1
6029,53,16,1
6030,54,17,1
6031,55,18,1
6032,56,19,1
6033,57,20,1
6034,58,21,1
6035,59,22,1
6036,60,23,1
6037,51,14,1
6038,52,15,1
6039,53,16,1
6040,54,17,1
6041,55,18,1
6042,56,19,1
6043,57,20,1
6044,58,21,1
6045,59,22,1
6046,60,23,1
6047,51,14,1
6048,52,15,1
6049,53,16,1
6050,54,17,1
6051,55,18,1
6052,56,19,1
6053,57,20,1
6054,58,21,1
6055,59,22,1
6056,60,23,1
6057,51,14,1
6058,52,15,1
6059,53,16,1
6060,54,17,1
6061,55,18,1
6062,56,19,1
6063,57,20,1
6064,58,21,1
6065,59,22,1
6066,60,23,1
6067,51,14,1
6068,52,15,1
6069,53,16,1
6070,54,17,1
6071,55,18,1
6072,56,19,1
6073,57,20,1
6074,58,21,1
6075,59,22,1
6076,60,23,1
6077,51,14,1
6078,52,15,1
6079,53,16,1
6080,54,17,1
6081,55,18,1
6082,56,19,1
6083,57,20,1
6084,58,21,1
6085,59,22,1
6086,60,23,1
6087,51,14,1
6088,52,15,1
6089,53,16,1
6090,54,17,1
6091,55,18,1
6092,56,19,1
6093,57,20,1
6094,58,21,1
6095,59,22,1
6096,60,23,1
6097,51,14,1
6098,52,15,1
6099,53,16,1
6100,54,17,1
6101,55,18,1
6102,56,19,1
6103,57,20,1
6104,58,21,1
6105,59,22,1
6106,60,23,1
6107,51,14,1
6108,52,15,1
6109,53,16,1
6110,54,17,1
6111,55,18,1
6112,56,19,1
6113,57,20,1
6114,58,21,1
6115,59,22,1
6116,60,23,1
6117,51,14,1
6118,52,15,1
6119,53,16,1
6120,54,17,1
6121,55,18,1
6122,56,19,1
6123,57,20,1
6124,58,21,1
6125,59,22,1
6126,60,23,1
6127,51,14,1
6128,52,15,1
6129,53,16,1
6130,54,17,1
6131,55,18,1
6132,56,19,1
6133,57,20,1
6134,58,21,1
6135,59,22,1
6136,60,23,1
6137,51,14,1
6138,52,15,1
6139,53,16,1
6140,54,17,1
6141,55,18,1
6142,56,19,1
6143,57,20,1
6144,58,21,1
6145,51,14,1
6146,52,15,1
6147,53,16,1
6148,54,17,1
6149,55,18,1
6150,56,19,1
6151,57,20,1
6152,58,21,1
6153,59,22,1
6154,60,23,1
6155,51,14,1
6156,52,15,1
6157,53,16,1
6158,54,17,1
6159,55,18,1
6160,56,19,1
6161,57,20,1
6162,58,21,1
6163,59,22,1
6164,60,23,1
6165,51,14,1
6166,52,15,1
6167,53,16,1
6168,54,17,1
6169,55,18,1
6170,56,19,1
6171,57,20,1
6172,58,21,1
6173,59,22,1
6174,60,23,1
6175,51,14,1
6176,52,15,1
6177,53,16,1
6178,54,17,1
6179,55,18,1
6180,56,19,1
6181,57,20,1
6182,58,21,1
6183,59,22,1
6184,60,23,1
6185,51,14,1
6186,52,15,1
6187,53,16,1
6188,54,17,1
6189,55,18,1
6190,56,19,1
6191,57,20,1
6192,58,21,1
6193,59,22,1
6194,60,23,1
6195,51,14,1
6196,52,15,1
6197,53,16,1
6198,54,17,1
6199,55,18,1
6200,56,19,1
6201,57,20,1
6202,58,21,1
6203,59,22,1
6204,60,23,1
6205,51,14,1
6206,52,15,1
6207,53,16,1
6208,54,17,1
6209,55,18,1
6210,56,19,1
6211,57,20,1
6212,58,21,1
6213,59,22,1
6214,60,23,1
6215,51,14,1
6216,52,15,1
6217,53,16,1
6218,54,17,1
6219,55,18,1
6220,56,19,1
6221,57,20,1
6222,58,21,1
6223,59,22,1
6224,60,23,1
6225,51,14,1
6226,52,15,1
6227,53,16,1
6228,54,17,1
6229,55,18,1
6230,56,19,1
6231,57,20,1
6232,58,21,1
6233,59,22,1
6234,60,23,1
6235,51,14,1
6236,52,15,1
6237,53,16,1
6238,54,17,1
6239,55,18,1
6240,56,19,1
6241,57,20,1
6242,58,21,1
6243,59,22,1
6244,60,23,1
6245,51,14,1
6246,52,15,1
6247,53,16,1
6248,54,17,1
6249,55,18,1
6250,56,19,1
6251,57,20,1
6252,58,21,1
6253,59,22,1
6254,60,23,1
6255,51,14,1
6256,52,15,1
6257,53,16,1
6258,54,17,1
6259,55,18,1
6260,56,19,1
6261,57,20,1
6262,58,21,1
6263,59,22,1
6264,60,23,1
6265,51,13,1
6266,52,14,1
6267,53,15,1
6268,54,16,1
6269,55,17,1
6270,56,18,1
6271,57,19,1
6272,58,20,1
6273,59,21,1
6274,60,22,1
6275,51,13,1
6276,52,14,1
6277,53,15,1
6278,54,16,1
6279,55,17,1
6280,56,18,1
6281,57,19,1
6282,58,20,1
6283,59,21,1
6284,60,22,1
6285,51,13,1
6286,52,14,1
6287,53,15,1
6288,54,16,1
6289,55,17,1
6290,56,18,1
6291,57,19,1
6292,58,20,1
6293,59,21,1
6294,60,22,1
6295,51,13,1
6296,52,14,1
6297,53,15,1
6298,54,16,1
6299,55,17,1
6300,56,18,1
6301,57,19,1
6302,58,20,1
6303,59,21,1
6304,60,22,1
6305,51,13,1
6306,52,14,1
6307,53,15,1
6308,54,16,1
6309,55,17,1
6310,56,18,1
6311,57,19,1
6312,58,20,1
6313,59,21,1
6314,60,22,1
6315,51,13,1
6316,52,14,1
6317,53,15,1
6318,54,16,1
6319,55,17,1
6320,56,18,1
6321,57,19,1
6322,58,20,1
6323,59,21,1
6324,60,22,1
6325,51,13,1
6326,52,14,1
6327,53,15,1
6328,54,16,1
6329,55,17,1
6330,56,18,1
6331,57,19,1
6332,58,20,1
6333,51,13,1
6334,52,14,1
6335,53,15,1
6336,54,16,1
6337,55,17,1
6338,56,18,1
6339,57,19,1
6340,58,20,1
6341,59,21,1
6342,60,22,1
6343,51,13,1
6344,52,14,1
6345,53,15,1
6346,54,16,1
6347,55,17,1
6348,56,18,1
6349,57,19,1
6350,58,20,1
6351,59,21,1
6352,60,22,1
6353,51,13,1
6354,52,14,1
6355,53,15,1
6356,54,16,1
6357,55,17,1
6358,56,18,1
6359,57,19,1
6360,58,20,1
6361,59,21,1
6362,60,22,1
6363,51,13,1
6364,52,14,1
6365,53,15,1
6366,54,16,1
6367,55,17,1
6368,56,18,1
6369,57,19,1
6370,58,20,1
6371,59,21,1
6372,60,22,1
6373,51,13,1
6374,52,14,1
6375,53,15,1
6376,54,16,1
6377,55,17,1
6378,56,18,1
6379,57,19,1
6380,58,20,1
6381,59,21,1
6382,60,22,1
6383,51,13,1
6384,52,14,1
6385,53,15,1
6386,54,16,1
6387,55,17,1
6388,56,18,1
6389,57,19,1
6390,58,20,1
6391,59,21,1
6392,60,22,1
6393,51,13,1
6394,52,14,1
6395,53,15,1
6396,54,16,1
6397,55,17,1
6398,56,18,1
6399,57,19,1
6400,58,20,1
6401,59,21,1
6402,60,22,1
6403,51,13,1
6404,52,14,1
6405,53,15,1
6406,54,16,1
6407,55,17,1
6408,56,18,1
6409,57,19,1
6410,58,20,1
6411,59,21,1
6412,60,22,1
6413,51,13,1
6414,52,14,1
6415,53,15,1
6416,54,16,1
6417,55,17,1
6418,56,18,1
6419,57,19,1
6420,58,20,1
6421,59,21,1
6422,60,22,1
6423,51,13,1
6424,52,14,1
6425,53,15,1
6426,54,16,1
6427,55,17,1
6428,56,18,1
6429,57,19,1
6430,58,20,1
6431,59,21,1
6432,60,22,1
6433,51,13,1
6434,52,14,1
6435,53,15,1
6436,54,16,1
6437,55,17,1
6438,56,18,1
6439,57,19,1
6440,58,20,1
6441,59,21,1
6442,60,22,1
6443,51,13,1
6444,52,14,1
6445,53,15,1
6446,54,16,1
6447,55,17,1
6448,56,18,1
6449,57,19,1
6450,58,20,1
6451,59,21,1
6452,60,22,1
6453,51,13,1
6454,52,14,1
6455,53,15,1
6456,54,16,1
6457,55,17,1
6458,56,18,1
6459,57,19,1
6460,58,20,1
6461,59,21,1
6462,60,22,1
6463,51,13,1
6464,52,14,1
6465,53,15,1
6466,54,16,1
6467,55,17,1
6468,56,18,1
6469,57,19,1
6470,58,20,1
6471,59,21,1
6472,60,22,1
6473,51,13,1
6474,52,14,1
6475,53,15,1
6476,54,16,1
6477,55,17,1
6478,56,18,1
6479,57,19,1
6480,58,20,1
6481,59,21,1
6482,60,22,1
6483,51,13,1
6484,52,14,1
6485,53,15,1
6486,54,16,1
6487,55,17,1
6488,56,18,1
6489,57,19,1
6490,58,20,1
6491,59,21,1
6492,60,22,1
6493,51,13,1
6494,52,14,1
6495,53,15,1
6496,54,16,1
6497,55,17,1
6498,56,18,1
6499,57,19,1
6500,58,20,1
6501,59,21,1
6502,60,22,1
6503,51,13,1
6504,52,14,1
6505,53,15,1
6506,54,16,1
6507,55,17,1
6508,56,18,1
6509,57,19,1
6510,58,20,1
6511,59,21,1
6512,60,22,1
6513,51,13,1
6514,52,14,1
6515,53,15,1
6516,54,16,1
6517,55,17,1
6518,56,18,1
6519,57,19,1
6520,58,20,1
6521,59,21,1
6522,60,22,1
6523,51,13,1
6524,52,14,1
6525,53,15,1
6526,54,16,1
6527,55,17,1
6528,56,18,1
6529,57,19,1
6530,58,20,1
6531,59,21,1
6532,60,22,1
6533,51,13,1
6534,52,14,1
6535,53,15,1
6536,54,16,1
6537,55,17,1
6538,56,18,1
6539,57,19,1
6540,58,20,1
6541,59,21,1
6542,60,22,1
6543,51,13,1
6544,52,14,1
6545,53,15,1
6546,54,16,1
6547,55,17,1
6548,56,18,1
6549,57,19,1
6550,58,20,1
6551,59,21,1
6552,60,22,1
6553,51,13,1
6554,52,14,1
6555,53,15,1
6556,54,16,1
6557,55,17,1
6558,56,18,1
6559,57,19,1
6560,58,20,1
6561,59,21,1
6562,60,22,1
6563,51,13,1
6564,52,14,1
6565,53,15,1
6566,54,16,1
6567,55,17,1
6568,56,18,1
6569,57,19,1
6570,58,20,1
6571,59,21,1
6572,60,22,1
6573,51,13,1
6574,52,14,1
6575,53,15,1
6576,54,16,1
6577,55,17,1
6578,56,18,1
6579,57,19,1
6580,58,20,1
6581,59,21,1
6582,60,22,1
6583,51,13,1
6584,52,14,1
6585,53,15,1
6586,54,16,1
6587,55,17,1
6588,56,18,1
6589,57,19,1
6590,58,20,1
6591,59,21,1
6592,60,22,1
6593,51,13,1
6594,52,14,1
6595,53,15,1
6596,54,16,1
6597,55,17,1
6598,56,18,1
6599,57,19,1
6600,58,20,1
6601,59,21,1
6602,51,13,1
6603,52,14,1
6604,53,15,1
6605,54,16,1
6606,55,17,1
6607,56,18,1
6608,57,19,1
6609,58,20,1
6610,59,21,1
6611,60,22,1
6612,51,13,1
6613,52,14,1
6614,53,15,1
6615,54,16,1
6616,55,17,1
6617,56,18,1
6618,57,19,1
6619,58,20,1
6620,59,21,1
6621,60,22,1
6622,51,13,1
6623,52,14,1
6624,53,15,1
6625,54,16,1
6626,55,17,1
6627,56,18,1
6628,57,19,1
6629,58,20,1
6630,59,21,1
6631,60,22,1
6632,51,13,1
6633,52,14,1
6634,53,15,1
6635,54,16,1
6636,55,17,1
6637,56,18,1
6638,57,19,1
6639,58,20,1
6640,59,21,1
6641,60,22,1
6642,51,13,1
6643,52,14,1
6644,53,15,1
6645,54,16,1
6646,55,17,1
6647,56,18,1
6648,57,19,1
6649,58,20,1
6650,59,21,1
6651,60,22,1
6652,51,13,1
6653,52,14,1
6654,53,15,1
6655,54,16,1
6656,55,17,1
6657,56,18,1
6658,57,19,1
6659,58,20,1
6660,59,21,1
6661,60,22,1
6662,51,13,1
6663,52,14,1
6664,53,15,1
6665,54,16,1
6666,55,17,1
6667,56,18,1
6668,57,19,1
6669,58,20,1
6670,59,21,1
6671,60,22,1
6672,51,13,1
6673,52,14,1
6674,53,15,1
6675,54,16,1
6676,55,17,1
6677,56,18,1
6678,57,19,1
6679,58,20,1
6680,59,21,1
6681,60,22,1
6682,51,13,1
6683,52,14,1
6684,53,15,1
6685,54,16,1
6686,55,17,1
6687,56,18,1
6688,57,19,1
6689,58,20,1
6690,59,21,1
6691,60,22,1
6692,51,13,1
6693,52,14,1
6694,53,15,1
6695,54,16,1
6696,55,17,1
6697,56,18,1
6698,57,19,1
6699,58,20,1
6700,59,21,1
6701,60,22,1
6702,51,13,1
6703,52,14,1
6704,53,15,1
6705,54,16,1
6706,55,17,1
6707,56,18,1
6708,57,19,1
6709,58,20,1
6710,59,21,1
6711,60,22,1
6712,51,13,1
6713,52,14,1
6714,53,15,1
6715,54,16,1
6716,55,17,1
6717,56,18,1
6718,57,19,1
6719,58,20,1
6720,59,21,1
6721,60,22,1
6722,51,13,1
6723,52,14,1
6724,53,15,1
6725,54,16,1
6726,55,17,1
6727,56,18,1
6728,57,19,1
6729,58,20,1
6730,59,21,1
6731,60,22,1
6732,51,13,1
6733,52,14,1
6734,53,15,1
6735,54,16,1
6736,55,17,1
6737,56,18,1
6738,57,19,1
6739,58,20,1
6740,59,21,1
6741,60,22,1
6742,51,13,1
6743,52,14,1
6744,53,15,1
6745,54,16,1
6746,55,17,1
6747,56,18,1
6748,57,19,1
6749,58,20,1
6750,59,21,1
6751,60,22,1
6752,51,13,1
6753,52,14,1
6754,53,15,1
6755,54,16,1
6756,55,17,1
6757,51,13,1
6758,52,14,1
6759,53,15,1
6760,54,16,1
6761,55,17,1
6762,56,18,1
6763,57,19,1
6764,58,20,1
6765,59,21,1
6766,60,22,1
6767,51,13,1
6768,52,14,1
6769,53,15,1
